id,longitude,latitude
211,-73.97402,40.64666
212,-73.96382,40.80473
213,-73.97903,40.78656
214,-73.95167,40.77373
215,-73.9855,40.6664
216,-73.97812,40.77993
217,-73.9978,40.6917
218,-73.96585,40.6758
219,-73.9363,40.8264
220,-73.97546,40.77965
221,-73.93593,40.85748
222,-73.86399,40.89744
223,-73.9909,40.68555
224,-73.9518,40.5828
225,-73.78726,40.84571
226,-73.97792,40.72705
227,-74.08113,40.62654
228,-73.857,40.84196
229,-73.99074,40.76043
230,-73.97148,40.78419
231,-74.0083,40.7144
232,-73.96576,40.75983
233,-73.9399,40.8367
234,-73.96704,40.75271
235,-73.98041,40.77173
236,-73.97674,40.67964
237,-73.99535,40.73683
238,-73.98279,40.73791
239,-74.01768,40.70729
240,-73.97438,40.65266
241,-73.99364,40.69113
242,-73.92988,40.70383
243,-73.95227,40.8025
244,-73.99653,40.68499
245,-73.97448,40.78926
246,-73.9927,40.73111
247,-74.01997,40.6897
248,-73.97763,40.79107
249,-73.98655,40.77844
250,-73.99226,40.69671
251,-73.98349,40.7393
252,-73.95862,40.77997
253,-73.95648,40.78204
254,-73.9677,40.80283
255,-73.95678,40.77605
256,-73.97156,40.67799
257,-74.00218,40.74183
258,-74.03776,40.62073
259,-73.98304,40.77856
260,-73.97542,40.72467
261,-73.93604,40.85349
262,-74.00722,40.71005
263,-73.9884,40.7155
264,-73.96307,40.76652
265,-73.98386,40.78179
266,-73.97686,40.78965
267,-73.98345,40.66503
268,-74.0053,40.734
269,-73.96803,40.76078
270,-74.00306,40.71711
271,-73.95725,40.77364
272,-73.9962,40.76071
273,-73.9803,40.7246
274,-73.97594,40.64721
275,-73.95659,40.73307
276,-73.98344,40.64587
277,-74.01687,40.70993
278,-73.98153,40.77548
279,-73.96961,40.79566
280,-73.95775,40.72931
281,-73.94594,40.82307
282,-73.94367,40.72241
283,-73.9755,40.65613
284,-73.96788,40.7583
285,-73.78794,40.85279
286,-73.9544,40.8121
287,-73.95299,40.77428
288,-73.96645,40.79322
289,-73.96707,40.76807
290,-73.98147,40.66403
291,-73.96404,40.76646
292,-74.00583,40.73822
293,-73.97902,40.71358
294,-73.97734,40.79014
295,-73.95795,40.77426
296,-73.97859,40.76346
297,-73.95353,40.7154
298,-73.99912,40.73916
299,-73.95334,40.79105
300,-73.98569,40.73083
