caseid,weight,votereg,Q2,Q3a,Q3b,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10,Q12,Q18_1,Q18_2,Q18_3,Q18_6,Q21,Q22,tsmart_voter_score,tsmart_pid,tsmart_G2016_vote_type,tsmart_P2016_vote_type,tsmart_P2014_vote_type,tsmart_G2014_vote_type,tsmart_G2012_vote_type,tsmart_P2012_vote_type,tsmart_PP2012_vote_type,tsmart_match_status,tsmart_G2018,tsmart_G2018_vote_type,tsmart_P2018,tsmart_P2018_party,tsmart_P2018_vote_type,birthyr,gender,race,educ,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputstate,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1038196367,0.72428644392439,1,9,9,1,6,1,5,1,6,1,2,6,4,1,1,5,2,6,2,1,6,2,4,2,4,998,1,998,6,998,3,9,998,998,5,4,10,7,998,998,2,998,8,1,3,4,5,2,4,1,8,3,3,1,2,2,8,8,98,98,98,98,98,98,98,8, , , , , ,1951,2,1,4,1,5,5,3,3,1,45,3,1,1,5,1,1,1,11/23/2019 05:03:57,11/23/2019 05:15:00
1038506435,0.649160970923164,1,9,9,1,6,2,4,2,6,3,4,4,3,2,4,6,2,6,1,3,3,4,4,15,2,998,2,998,3,998,7,998,998,9,4,998,998,6,998,1,5,8,10,1,5,3,4,2,2,1,3,3,1,2,1,1,1,3,5,98,5,5,5,5,98,1,1,5,1,1,5,1971,2,2,6,1,1,10,1,2,1,45,3,1,1,2,2,1,1,11/23/2019 05:53:12,11/23/2019 06:06:41
1038626333,0.649160970923164,1,9,9,1,6,4,4,3,4,3,4,4,2,2,1,4,2,6,3,1,6,4,4,2,4,998,1,998,7,998,6,998,998,5,4,3,9,10,998,8,2,998,998,1,5,3,4,2,3,1,3,3,3,1,5,2,1,3,7,98,98,11,3,98,98,1, , , , , ,1961,2,2,6,4,1,6,1,1,1,45,2,1,1,2,1,1,1,11/23/2019 06:26:15,11/23/2019 06:38:33
1038608803,0.146183124676479,1,9,9,1,5,2,3,2,5,2,3,5,4,2,3,3,3,6,2,2,5,5,4,2,4,998,1,998,6,998,5,10,998,998,2,7,8,998,998,4,3,998,9,1,3,2,5,4,2,3,3,3,1,1,2,1,2,3,5,5,98,5,5,98,98,1,1,5,1,1,5,1953,2,5,5,4,5,7,3,4,1,45,3,1,1,1,1,1,1,11/23/2019 06:35:26,11/23/2019 06:55:00
1038246599,0.353194446925692,1,9,9,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,19,5,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,997,997,997,997,997,5,4,8,8,3,3,4,2,1,3,5,5,5,5,11,98,98,1,1,5,1,2,5,1948,1,2,4,1,5,6,3,5,2,45,5,2,1,1,1,1,1,11/23/2019 09:23:45,11/23/2019 09:31:25
445936109,0.649016679876198,2,2,5,2,6,2,5,6,6,5,6,6,6,5,6,2,2,6,6,5,6,6,4,18,2,998,3,5,998,10,4,998,8,9,7,998,998,1,998,998,6,998,2,2,4,5,1,3,1,1,3,3,3,3,1,1,4,3,98,98,98,98,98,98,98,1, , , , , ,1985,2,1,3,2,2,2,1,1,7,45,2,1,11,6,2,4,7,11/23/2019 09:38:28,11/23/2019 09:45:06
1038540699,0.536653936972963,1,9,9,1,5,4,4,4,4,4,4,4,1,4,3,6,4,6,3,4,3,4,1,9,2,998,998,10,998,998,6,998,998,1,8,4,998,9,998,2,7,3,5,2,1,4,5,3,3,1,8,3,1,2,3,2,1,3,5,5,5,5,5,5,5,1,1,5,1,2,5,1937,2,1,2,1,5,5,3,5,2,45,3,1,1,5,1,1,1,11/23/2019 10:32:33,11/23/2019 10:40:24
1038624533,1.22374614550272,1,9,9,1,4,4,4,3,4,4,3,4,2,4,4,4,1,6,4,3,3,2,4,13,3,998,998,998,5,998,998,7,998,3,998,998,998,1,998,998,4,6,2,998,998,998,1,2,1,2,3,3,3,2,1,1,4,3,98,98,98,98,98,98,98,1, , , , , ,1977,1,1,1,5,2,2,3,3,7,45,1,1,10,6,2,4,7,11/23/2019 11:52:12,11/23/2019 12:02:10
1038668749,2.09376994920445,1,9,9,2,5,2,5,5,5,2,5,5,2,1,3,5,3,5,2,3,5,2,4,10,3,998,3,6,8,10,2,998,998,998,1,998,998,998,998,9,5,7,4,3,2,1,5,4,2,1,3,3,3,8,2,2,2,3,5,98,98,98,5,98,98,1, , , , , ,1975,1,1,2,5,1,7,1,2,7,45,3,2,11,6,2,4,7,11/23/2019 12:05:39,11/23/2019 12:11:26
439905463,1.15758721270098,1,9,9,1,6,4,4,4,4,2,4,4,4,4,4,6,2,6,1,3,4,2,4,15,3,998,998,998,998,998,3,998,998,998,998,998,998,4,998,1,5,998,2,998,2,998,1,3,2,2,3,3,8,2,1,1,2,3,5,98,98,98,11,11,98,1,1,5,1,1,5,1986,2,1,5,5,1,6,4,3,3,45,1,1,12,5,1,1,1,11/23/2019 12:15:06,11/23/2019 12:25:45
