id,longitude,latitude
212,-73.9899,40.759
213,-74.00119,40.73055
214,-73.9855,40.6664
215,-73.9909,40.71479
216,-73.98712,40.73282
217,-73.97497,40.66846
218,-73.9945,40.752
219,-74.00933,40.73221
220,-74.00229,40.72625
221,-73.97519,40.79544
222,-73.9855,40.6664
223,-73.95904,40.76972
224,-73.9825,40.7773
225,-73.96707,40.80091
226,-73.97919,40.65124
227,-73.99715,40.72484
228,-73.91331,40.88446
229,-73.97865,40.6669
230,-73.98026,40.78708
231,-73.9496,40.7796
232,-73.9035,40.9035
233,-73.99407,40.69979
234,-73.9961,40.7243
235,-74.00456,40.74106
236,-73.94884,40.77101
237,-73.97924,40.68956
238,-73.9496,40.7796
239,-73.97433,40.79295
240,-74.0331,40.62929
241,-73.99305,40.7305
242,-74.00215,40.72475
243,-73.90537,40.90922
244,-73.97901,40.68136
245,-73.9481,40.8274
246,-73.97268,40.79533
247,-74.0045,40.6801
248,-74.0007,40.7507
249,-74.00605,40.73087
250,-73.98366,40.724
251,-73.93123,40.79619
252,-73.9496,40.7796
253,-73.99329,40.73227
254,-74.0036,40.72
255,-73.98358,40.77455
256,-73.99552,40.73161
257,-73.98891,40.72883
258,-73.94066,40.84233
259,-73.97569,40.74272
260,-73.9855,40.6664
261,-73.9799,40.67057
262,-73.99428,40.73776
263,-73.97901,40.73447
264,-73.974,40.6559
265,-73.9808,40.7452
266,-73.9879,40.7423
267,-73.992,40.68675
268,-73.81448,40.73275
269,-73.98322,40.67081
270,-73.98842,40.68646
271,-74.0732,40.60168
272,-73.99429,40.71222
273,-73.94607,40.77255
274,-73.9524,40.7141
275,-73.9763,40.78291
276,-73.92125,40.85097
277,-73.9588,40.7667
278,-74.0007,40.7507
279,-73.9759,40.6416
280,-73.99388,40.68126
281,-74.0045,40.6801
282,-74.00074,40.72662
283,-73.97882,40.66444
284,-74.00932,40.71555
285,-73.99548,40.74531
286,-73.9786,40.7865
287,-73.96884,40.80108
288,-73.9496,40.7796
289,-73.96144,40.75733
290,-73.9759,40.6416
291,-73.98957,40.65965
292,-73.95446,40.78179
293,-73.96292,40.79971
294,-73.97496,40.78702
295,-73.98349,40.72314
296,-73.97697,40.68773
297,-73.98434,40.76592
298,-73.96551,40.80426
299,-73.97102,40.75419
300,-73.96658,40.67689
301,-73.9481,40.8274
302,-73.96721,40.79175
303,-73.94594,40.82307
304,-73.98369,40.76696
305,-73.9703,40.7996
306,-74.0959,40.64167
307,-73.9951,40.7523
308,-73.9493,40.728
309,-73.94323,40.83951
310,-73.96183,40.77016
311,-73.99754,40.74312
312,-73.97402,40.64666
313,-73.96382,40.80473
314,-73.97903,40.78656
315,-73.95167,40.77373
316,-73.9855,40.6664
317,-73.9496,40.7796
318,-73.9607,40.7685
319,-73.9198,40.8679
320,-73.97812,40.77993
321,-73.9978,40.6917
322,-73.96585,40.6758
323,-73.9363,40.8264
324,-74.0053,40.734
325,-73.97546,40.77965
326,-73.93593,40.85748
327,-73.86399,40.89744
328,-73.9874,40.7642
329,-73.9804,40.6844
330,-74.0122,40.7081
331,-74.0036,40.72
332,-73.9909,40.68555
333,-73.9518,40.5828
334,-73.78726,40.84571
335,-73.97792,40.72705
336,-73.9899,40.759
337,-73.9524,40.7141
338,-73.9993,40.7418
339,-74.08113,40.62654
340,-73.9874,40.7642
341,-74.0129,40.7112
342,-73.9524,40.7141
343,-73.857,40.84196
344,-73.99074,40.76043
345,-73.97148,40.78419
346,-73.9275,40.8584
347,-74.0083,40.7144
348,-73.96576,40.75983
349,-73.9874,40.7642
350,-73.9399,40.8367
351,-73.9399,40.8367
352,-73.96704,40.75271
353,-73.9216,40.7046
354,-73.98041,40.77173
355,-73.97674,40.67964
356,-73.99535,40.73683
357,-73.9804,40.6844
358,-73.98279,40.73791
359,-74.01768,40.70729
360,-73.97438,40.65266
361,-73.99364,40.69113
362,-73.92988,40.70383
363,-73.95227,40.8025
364,-73.99653,40.68499
365,-73.97448,40.78926
366,-73.9927,40.73111
367,-73.9927,40.6955
